,uri,tituloOriginal,tituloExtraido,codigo
0,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1010,Moving Library Metadata Toward Linked Data:  Opportunities Provided by the eXtensible Catalog,Moving Library Metadata Toward Linked Data: Opportunities Provided by the eXtensible Catalog,4a71479a4c7192df9eb733c00d2c741debb61fda
1,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1046,Celebrating 10 Years of Government of Canada Metadata Standards,Celebrating 10 Years of Government of Canada Metadata Standards,ceafebeb15f56ffdbde3ecd9917b5ad5cea1c3f6
2,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1009,The Case for Implementing Core Descriptive Embedded Metadata at the Smithsonian,The Case for Implementing Core Descriptive Embedded Metadata at the Smithsonian,e600700aaedb843395cfb0dee10846bf516ee0ce
3,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-994,The public library catalogue as a social space: Transaction log analysis of user interaction with social discovery systems.,The public library catalogue as a social space: Transaction log analysis of user interaction with social discovery systems,f59339f57afc58989ef197a0f1105cb699bdb5ab
4,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-1016,"Metadata application profile: Integrating different metadata schemes for cataloguing digital learning material collection at  Biblioteca Francisco Xavier Clavigero, Universidad Iberoamericana Ciudad de México.","Metadata application profile: Integrating different metadata schemes for cataloguing digital learning material collection at Biblioteca Francisco Xavier Clavigero, Universidad Iberoamericana Ciudad de México",7ef76914b3de41a06a39dc88db6e4457457da349
5,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1033,From records to streams: Merging library and publisher metadata,From records to streams: Merging library and publisher metadata,d996b3af762f4ba9fba47b8b887207d9c0d4c366
6,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-1002,"Vocabulary and Taxonomy Issues When Searching Lesbian, Gay, Bisexual and Transgender (LGBT) Health LiteratureT health literature","Vocabulary and Taxonomy Issues When Searching Lesbian, Gay, Bisexual and Transgender (LGBT) Health LiteratureT health literature",beb8073d60369b0557f0914d452e099da75ffdfa
7,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1013,Linking Entities in Scientific Metadata,Linking Entities in Scientific Metadata,7157fbce1928fb9e6ed63a69accd890a34bb7c9f
8,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-1031,Establishing a Multi-Thesauri-Scenario based on SKOS and Cross-Concordances,Establishing a Multi-Thesauri-Scenario based on SKOS and Cross-Concordances,57b27d924c2ad5632331ee473f9fd63de00c8bf6
9,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1032,The Question about Questions: Is DC a Good Choice to Address the Challenges of Representation of Clinical Research Questions and Value Sets?,The Question about Questions: Is DC a Good Choice to Address the Challenges of Representation of Clinical Research Questions and Value Sets?,9ad5fe196654b368866776deaeeefad6f913b4fe
10,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1044,Building Metadata Application Framework for Chinese Digital Library: A Case Study of National Digital Library of China,Building Metadata Application Framework for Chinese Digital Library: A Case Study of National Digital Library of China,94efb6311c0232b9bfcc6428b12a5f3ac41e71da
11,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-1006,Towards a Premodern Manuscript Application Profile,Towards a Premodern Manuscript Application Profile,81595d0a1e96b6f312da7c1f32579b2523959ecf
12,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1043,The One-To-One Principle: Challenges in Current Practice,The One-To-One Principle: Challenges in Current Practice,2697d4ca2f03e451b0d6756af8f5e3fc5daf0c77
13,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1004,"Better Guidelines, Better Functionality: How Metadata Supports the Cycle of System Improvement at UNT","Better Guidelines, Better Functionality: How Metadata Supports the Cycle of System Improvement at UNT",43bf92c96a72b9f2c641b80e5791afa0d452e8d5
14,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-1015,Bridging End Users’ Terms and AGROVOC Concept Server Vocabularies,Bridging End Users' Terms and AGROVOC Concept Server Vocabularies,f3a1ef2974e3b4e95c812e73cdd6a65c2971141e
15,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-996,Creating Metadata Best Practices for CONTENTdm Users,Creating Metadata Best Practices for CONTENTdm Users,4b182d4337a4ab17aab299d0abcd2628ecf2562f
16,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1007,"Metadata for WICRI, a Network of Semantic Wikis for Communities in Research and Innovation","Metadata for WICRI, a Network of Semantic Wikis for Communities in Research and Innovation",fbbf7c3a1cb8b08b1a7b3d1c21fcae8d3db7dd49
17,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1037,Enhancing Interoperability of FRBR-Based Metadata,Enhancing Interoperability of FRBR-Based Metadata,cf0fa2e86c43723e0c3d5cee032631310f7d79f0
18,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1024,FRBR: A Generalized Approach to Dublin Core Application Profiles,FRBR: A Generalized Approach to Dublin Core Application Profiles,edd7bacc509c8087652373a4ba1d20981ab53bc7
19,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-1022,Creating Collection-Level Metadata: A TELDAP Case Study,Creating Collection-Level Metadata: A TELDAP Case Study,bbf5c99945d4d2d28bb75c9a87dd36c566258df0
20,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1005,Extending RSS to Meet Central Bank Needs,Extending RSS to Meet Central Bank Needs,13184ef73c72be79b5c1746baeb556d0cc42fc04
21,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1041,Building blocks of metadata: What can we learn from Lego™?,Building blocks of metadata: What can we learn from Lego™?,905d05ddf068574f5ff04e52bc43362b3753e0d1
22,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-997,Use of Community Metadata: Public Policy Research in PolicyArchive,Use of Community Metadata: Public Policy Research in PolicyArchive,ac3e9a92234a73c2d4ab56aa54fa1cfa3444f308
23,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/posters/A-1008,Universal Access to Cultural Heritage Material: The Europeana Resolution Discovery Service for Persistent Identifiers,Universal Access to Cultural Heritage Material: The Europeana Resolution Discovery Service for Persistent Identifiers,f9f5d7ac497b49ff8a20e64d6cb17b0459abc52a
24,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1018,Visualizing Metadata for Environmental Datasets,Visualizing Metadata for Environmental Datasets,13f5c47b6bf612a03a5858dd6a0ba9314bb75dd8
